####Molesworth Cover scores for randomly located plots established  by NZ Forest Surveys Jan 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"###Plot sizes are: Subplot1- 0.25 m2 (0.5m x 0.5m), Subplot2- 1 m2 (1m x 1m), Subplot3- 4 m2 (2m x 2m), Subplot4- 25 m2 (5m x 5m), Subplot5- 100 m2 (10m x 10m), Subplot6- 400 m2 (20m x 20m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"##Height tiers are: 1 (0-0.1 m high); 2 (0.1-0.3); 3 (0.3-1); 4 (1-2), 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###Some duplicted species entries removed manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transect,Plot No.,Species,Subplot1.Tier1,Subplot1.Tier2,Subplot1.Tier3,Subplot1.Tier4,Subplot1.Tier5,Subplot1.Tier6,Subplot2.Tier1,Subplot2.Tier2,Subplot2.Tier3,Subplot2.Tier4,Subplot2.Tier5,Subplot2.Tier6,Subplot3.Tier1,Subplot3.Tier2,Subplot3.Tier3,Subplot3.Tier4,Subplot3.Tier5,Subplot3.Tier6,Subplot4.Tier1,Subplot4.Tier2,Subplot4.Tier3,Subplot4.Tier4,Subplot4.Tier5,Subplot4.Tier6,Subplot5.Tier1,Subplot5.Tier2,Subplot5.Tier3,Subplot5.Tier4,Subplot5.Tier5,Subplot5.Tier6,Subplot6.Tier1,Subplot6.Tier2,Subplot6.Tier3,Subplot6.Tier4,Subplot6.Tier5,Subplot6.Tier6,BrowserSpecies,BrowserIntensity
G,2,AGRCAP,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,2,ANIARO,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,2,BARE GROUND,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,
G,2,BLEPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,2,CELGRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,2,CELSPE,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,2,CHIFSB,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,,,,,
G,2,CHIPAL,3,3,1,,,,2,2,1,,,,1,1,1,,,,1,1,1,,,,1,1,1,,,,3,2,1,,,,,
G,2,CRALAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,2,DRAPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
G,2,EPICHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,2,EPISP,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,2,FESNOV,,,,,,,1,1,,,,,2,,,,,,2,2,,,,,2,2,1,,,,2,2,1,,,,,
G,2,GAUDEP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,2,GERMIC,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,2,GRAPOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,2,HEBLYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
G,2,HELCOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
G,2,HIECAE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,2,HIEPIL,,,,,,,2,,,,,,1,,,,,,2,,,,,,1,,,,,,1,,,,,,,
G,2,LEUFRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,2,LITTER,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,2,LUZRUF,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,2,LYCAUS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,2,LYCFAS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,2,MOSS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,2,OLECYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
G,2,PIMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
G,2,POACOL,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,2,RANINS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,2,ROCK,6,,,,,,5,,,,,,3,,,,,,5,,,,,,6,,,,,,5,,,,,,,
G,2,RUMACE,1,,,,,,1,,,,,,1,,,,,,2,,,,,,2,,,,,,1,,,,,,,
G,2,RYTSET,,,,,,,4,1,,,,,6,,,,,,4,2,,,,,3,2,,,,,3,2,,,,,,
G,2,SENWAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,2,VEGETATION,3,3,1,,,,,,,,,,5,3,,,,,4,2,1,,,,4,2,1,,,,4,2,1,,,,,
G,2,WAHALB,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,ACAFIS,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,ACIAUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,3,ACRCOL,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,AGRCAP,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,ANIARO,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,ANTODO,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,3,BARE GROUND,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,3,BLEPEN,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,BULHOO,,,,,,,,,,,,,,,,,,,1,1,,,,,2,2,,,,,2,2,,,,,,
G,3,CELAFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,3,CELGRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,3,CELSPE,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
G,3,CERFON,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,CHIPAL,,,,,,,,,,,,,,,,,,,2,2,1,,,,2,2,,,,,2,2,1,,,,hare,L
G,3,DRAPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,3,DRAROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,3,EPIGLA,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,EPIMAC,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,FESNOV,3,,,,,,2,,,,,,2,,,,,,2,1,,,,,2,1,,,,,2,1,,,,,,
G,3,FESRUB,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,GALPER,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,GAUDEP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,3,GERMIC,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,HELPAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,3,HIECAE,1,1,,,,,1,1,,,,,2,1,,,,,3,1,,,,,1,1,,,,,1,1,,,,,,
G,3,HIEPIL,2,,,,,,3,,,,,,2,,,,,,3,,,,,,2,,,,,,2,,,,,,,
G,3,HOLLAN,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,HYDMON,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,3,HYDSUL,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,3,HYPRAD,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,LITTER,1,,,,,,1,,,,,,2,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,LUZRUF,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,3,LYCAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,3,LYCFAS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,3,MIMMOS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,3,MOSS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,3,MUEAXI,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,OLECYM,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,3,OZOVAU,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,PIMORE,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,POACOL,,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,
G,3,POAPRA,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,PRACOL,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,3,RAOSUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,3,ROCK,,,,,,,2,,,,,,1,,,,,,1,,,,,,2,,,,,,2,,,,,,,
G,3,RUMACE,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,RYTSET,5,2,,,,,5,2,,,,,5,2,,,,,5,2,,,,,5,2,,,,,5,2,,,,,,
G,3,SENWAI,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,STEENY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,3,TRIREP,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,2,,,,,,,
G,3,UNCSP,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,3,VEGETATION,6,2,,,,,6,2,,,,,6,2,,,,,6,2,1,,,,6,2,1,,,,6,1,1,,,,,
G,3,WAHALB,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,ACIAUR,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,4,ACRCOL,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,2,1,,,,,,
G,4,ANIARO,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,BARE GROUND,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,BLEPEN,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,4,BRABEL,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,CELGRA,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,CELSPE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,CHIFSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
G,4,CHIPAL,1,1,1,,,,1,1,1,,,,1,1,1,,,,1,1,1,,,,1,1,1,,,,1,1,1,,,,,
G,4,COLACI,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,DRAPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,4,DRAROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
G,4,FESNOV,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
G,4,GAUCRA,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,1,,,,,,,
G,4,GAUDEP,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,GRAPOE,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,HELPAR,,,,,,,1,,,,,,1,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
G,4,HIECAE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,4,HIEPIL,2,,,,,,1,,,,,,1,,,,,,2,,,,,,2,,,,,,2,,,,,,,
G,4,HIEPRA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,4,HYPRAD,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,4,LEUFRA,1,,,,,,1,,,,,,1,,,,,,2,,,,,,2,,,,,,2,,,,,,,
G,4,LITTER,2,,,,,,1,,,,,,1,,,,,,2,,,,,,1,,,,,,1,,,,,,,
G,4,LUZRUF,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,LUZTRA,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,LYCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,4,MOSS,1,,,,,,2,,,,,,2,,,,,,1,,,,,,2,,,,,,1,,,,,,,
G,4,OZOVAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
G,4,PIMORE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,POACOL,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,RAOSUB,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,4,ROCK,6,,,,,,6,,,,,,6,,,,,,4,,,,,,4,,,,,,3,,,,,,,
G,4,RUMACE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
G,4,RYTSET,2,1,,,,,2,1,,,,,1,1,,,,,2,,,,,,2,1,,,,,3,1,,,,,,
G,4,STEGRA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,4,UNCSP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,4,VEGETATION,2,1,,,,,2,1,,,,,2,1,,,,,5,1,,,,,6,1,,,,,6,,,,,,,
G,4,VIOCUN,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
G,4,WAHALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,1,ACACAE,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,ACRCOL,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,
H,1,ANTODO,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
H,1,ARESER,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
H,1,BARE GROUND,1,,,,,,1,,,,,,1,,,,,,2,,,,,,2,,,,,,1,,,,,,,
H,1,CARSP,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,CELGRA,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,CRALAN,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,1,DACGLO,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,1,DEYAVE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,1,DIAARM,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,DICCRI,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,hare,L
H,1,DISTOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,hare,M
H,1,ECHVUL,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,1,,,,,,,,,,,,,
H,1,ELYAFR,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,FESNOV,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,,,,,,,,,,,,,
H,1,GERSES,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,HELRSR,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,HIECAE,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,HIEPIL,3,,,,,,3,,,,,,2,,,,,,3,,,,,,4,,,,,,4,,,,,,,
H,1,HOLLAN,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,HYMTRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,1,HYPRAD,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,KOENOV,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,1,LEUFRA,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,LINCAT,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,LITTER,1,,,,,,1,,,,,,1,,,,,,2,,,,,,2,,,,,,1,,,,,,,
H,1,MELALP,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,1,1,,,,,hare,H
H,1,MUECOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,hare,L
H,1,PIMORE,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,,
H,1,POACOL,,,,,,,,,,,,,2,,,,,,2,,,,,,2,,,,,,1,1,,,,,hare,L
H,1,RAOHOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,1,ROCK,6,,,,,,6,,,,,,5,,,,,,5,,,,,,4,,,,,,5,,,,,,,
H,1,ROSRUB,,,,,,,,,,,,,1,,,,,,1,,,,,,1,1,1,,,,2,2,1,1,,,,
H,1,RUMACE,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,RYTCLA,1,,,,,,2,,,,,,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,,
H,1,RYTSET,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,SCLUNI,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,1,STEGRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,1,THELON,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
H,1,TRIARV,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
H,1,TRIDUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,1,TRIREP,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
H,1,VEGETATION,3,,,,,,3,,,,,,3,1,,,,,4,1,,,,,4,1,1,,,,4,1,1,,,,,
H,1,VITAUS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,1,WAHALB,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,ACAINE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,ACRCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,2,AGRCAP,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,
H,2,ANTODO,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,1,1,,,,1,1,1,,,,,
H,2,APHARV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,2,ARESER,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,BARE GROUND,4,,,,,,3,,,,,,2,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,CAROVA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,CARSP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,CELGRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,2,CERFON,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,CERGLO,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,CIRVUL,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,CRECAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
H,2,DIAARM,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,DICCRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,
H,2,DICREP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,DISTOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,hare,L
H,2,ECHVUL,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,,
H,2,ELYAFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,
H,2,EUCAUD,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,FESNOV,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,,,,2,2,1,,,,,
H,2,FESRUB,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,GERSES,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,HIECAE,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,HIEPIL,3,,,,,,4,,,,,,3,,,,,,4,,,,,,4,,,,,,4,,,,,,,
H,2,HOLLAN,,,,,,,,,,,,,1,,,,,,1,,,,,,1,1,,,,,1,1,1,,,,,
H,2,HYPRAD,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,ISOSP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,JUNART,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,JUNEFF,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,,,,,
H,2,JUNNOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,2,JUNTEN,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,
H,2,KOENOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,2,LEUFRA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,LINCAT,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,LITTER,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,LUZRUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,2,MICUNI,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,MOSS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,MYODIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,2,POACIT,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,,,,1,1,1,,,,,
H,2,POAPRA,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,PRUVUL,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,ROCK,4,,,,,,3,,,,,,3,,,,,,2,,,,,,2,,,,,,1,,,,,,,
H,2,ROSRUB,,,,,,,,,,,,,1,2,3,1,,,2,3,3,2,,,2,3,3,2,,,2,3,3,2,,,hare,L
H,2,RUMACE,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,RUMFLE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,RYTCLA,1,,,,,,3,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,
H,2,RYTSET,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,SCHPAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,
H,2,THELON,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,TRIARV,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,TRIDUB,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,2,,,,,,,
H,2,TRIREP,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,2,VEGETATION,3,,,,,,4,,,,,,4,2,2,,,,5,3,3,,,,5,3,3,,,,5,3,3,,,,,
H,2,VERTHA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,2,VIOCUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,2,VITAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,2,WAHALB,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,3,ACACAE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,3,ACRCOL,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,3,AGRCAP,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,3,ANIARO,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,3,ANTODO,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,3,BARE GROUND,5,,,,,,3,,,,,,2,,,,,,1,,,,,,1,,,,,,2,,,,,,,
H,3,BRABEL,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,3,BULHOO,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
H,3,CAROVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,3,CELGRA,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,3,CELSPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
H,3,CERFON,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,3,CRALAN,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
H,3,DEYAVE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
H,3,EPIALS,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
